,ID,Name,Latitude,Longitude,BikesAvailable,EmptySlots,Installed,Locked,Temporary,UpdateTime
241,247,"St. John's Wood Church, Regent's Park",51.530052000000005,-0.16831400000000002,14.0,36,True,False,False,10:30
242,244,"Earnshaw Street , Covent Garden",51.51611887,-0.128585022,18.0,0,True,False,False,10:30
243,245,"Grosvenor Road, Pimlico",51.4853572,-0.142207481,9.0,19,True,False,False,10:30
244,242,"Beaumont Street, Marylebone",51.52200801,-0.151359288,4.0,17,True,False,False,10:30
245,243,"Gloucester Street, Pimlico",51.49096258,-0.139625122,2.0,23,True,False,False,10:30
246,240,"Colombo Street, Southwark",51.50545935,-0.10569204,2.0,13,True,False,False,10:30
247,275,"Barbican Centre, Barbican",51.52004497,-0.092176447,16.0,3,True,False,False,10:30
248,274,"Warwick Road, Olympia",51.49671237,-0.20528437,22.0,13,True,False,False,10:30
249,273,"Belvedere Road, South Bank",51.50613324,-0.114686385,7.0,31,True,False,False,10:30
250,272,"Baylis Road, Waterloo",51.50144456,-0.11069930900000001,5.0,17,True,False,False,10:30
251,279,"North Wharf Road, Paddington",51.51862243,-0.176645823,0.0,25,True,False,False,10:30
252,278,"Tooley Street, Bermondsey",51.503493799999994,-0.07962099,6.0,8,True,False,False,10:30
253,277,"Kensington Church Street, Kensington",51.50315739,-0.191496313,6.0,11,True,False,False,10:30
254,276,"Lower Thames Street, Monument",51.50930161,-0.084985356,15.0,8,True,False,False,10:30
255,283,"Kingsway, Covent Garden",51.51440928,-0.11847875699999999,13.0,3,True,False,False,10:30
256,282,"Royal London Hospital, Whitechapel",51.51906446,-0.059642081,17.0,24,True,False,False,10:30
257,281,"Smith Square, Westminster",51.49580589,-0.127575233,17.0,0,True,False,False,10:30
258,280,"Royal Avenue 2, Chelsea",51.490083,-0.162418,3.0,7,True,False,False,10:30
259,287,"Bedford Way, Bloomsbury",51.52367314,-0.128377673,2.0,21,True,False,False,10:30
260,286,"St. John's Wood Road, St. John's Wood",51.527294700000006,-0.174653609,7.0,28,True,False,False,10:30
261,284,"Lambeth North Station, Waterloo",51.49914063,-0.112031483,2.0,16,True,False,False,10:30
262,259,"Embankment (Horse Guards), Westminster",51.50494561,-0.123247648,11.0,17,True,False,False,10:30
263,256,"Houghton Street, Strand",51.51362054,-0.11676421099999999,8.0,7,True,False,False,10:30
264,257,"Westminster University, Marylebone",51.52248185,-0.154907218,2.0,12,True,False,False,10:30
265,262,"LSBU (Borough Road), Elephant & Castle",51.49874469,-0.103132904,12.0,23,True,False,False,10:30
266,263,"St. Mary Axe, Aldgate",51.51422502,-0.080660083,19.0,0,True,False,False,10:30
267,260,"Broadwick Street, Soho",51.513684600000005,-0.13558087900000002,18.0,0,True,False,False,10:30
268,261,"Princes Square, Bayswater",51.5134891,-0.191351186,9.0,6,True,False,False,10:30
269,266,"Queen's Gate (North), Kensington",51.50102668,-0.18024610100000002,18.0,0,True,False,False,10:30
270,267,"Regency Street, Westminster",51.49206037,-0.13222462199999999,17.0,2,True,False,False,10:30
271,264,"Tysoe Street, Clerkenwell",51.52644342,-0.10925682800000001,17.0,2,True,False,False,10:30
272,265,"Southwick Street, Paddington",51.51595344,-0.169249375,0.0,14,True,False,False,10:30
273,270,"Kennington Lane Rail Bridge, Vauxhall",51.4863434,-0.122492418,6.0,30,True,False,False,10:30
274,271,"London Zoo, Regents Park",51.53583617,-0.156285395,0.0,29,True,False,False,10:30
275,268,"Belgrave Road, Victoria",51.49320445,-0.144132875,6.0,23,True,False,False,10:30
276,269,"Empire Square, The Borough",51.50082346,-0.089740764,29.0,17,True,False,False,10:30
277,305,"Kennington Lane Tesco, Vauxhall",51.48677988,-0.11585396099999999,10.0,5,True,False,False,10:30
